2023-08-29 19:47:48 | ERROR | user validation failed: age: Path `age` is required.
2023-09-02 16:59:13 | ERROR | secret or public key must be provided
2023-09-02 17:40:00 | ERROR | Cannot read properties of undefined (reading 'split')
2023-09-09 17:25:48 | ERROR | jwt expired
2023-09-09 17:27:02 | ERROR | jwt expired
2023-09-09 17:28:03 | ERROR | jwt expired
2023-09-09 17:28:07 | ERROR | jwt expired
2023-09-09 17:28:08 | ERROR | jwt expired
2023-09-09 17:31:44 | ERROR | jwt expired
2023-09-09 17:31:45 | ERROR | jwt expired
2023-09-09 17:31:46 | ERROR | jwt expired
2023-09-09 17:33:33 | ERROR | jwt expired
2023-09-09 17:51:54 | ERROR | jwt expired
2023-09-09 17:52:06 | ERROR | jwt expired
2023-09-09 17:54:19 | ERROR | jwt expired
2023-09-09 17:54:20 | ERROR | jwt expired
2023-09-09 17:54:39 | ERROR | jwt expired
2023-09-16 14:07:07 | ERROR | invalid signature
2023-09-16 18:20:02 | ERROR | invalid signature
2023-09-16 18:22:35 | ERROR | invalid signature
2023-09-16 18:30:33 | ERROR | invalid signature
2023-09-18 12:13:10 | ERROR | invalid signature
2023-09-18 12:13:53 | ERROR | invalid signature
